🕘️更新时间,#genre#
2026-01-01 07:01:01,http://jiugong.wulinsy.cn:39901/tsfile/live/0001_1.m3u8?key=txiptv

☘️央视频道,#genre#
CCTV-1,http://jiugong.wulinsy.cn:39901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1,http://114.241.251.105:4022/rtp/239.3.1.129:8008
CCTV-1,http://144.255.32.146:8288/udp/239.21.1.120:5002
CCTV-1,http://180.105.201.135:9981/rtp/239.49.8.19:9614
CCTV-1,http://180.105.201.135:9981/rtp/239.49.8.129:6000
CCTV-1,http://183.236.43.98:4013/udp/239.77.1.144:5146
CCTV-1,http://27.191.202.133:19999/rtp/239.254.200.45:8008
CCTV-1,http://121.231.100.196:8095/rtp/239.49.8.19:9614
CCTV-1,http://121.29.141.237:4022/rtp/239.253.92.83:8012
CCTV-1,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-2,http://114.241.251.105:4022/rtp/239.3.1.60:8084
CCTV-2,http://121.29.141.237:4022/rtp/239.253.92.190:6065
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV-2,http://144.255.32.146:8288/udp/239.21.1.151:5002
CCTV-2,http://115.171.216.84:4000/rtp/225.1.8.2:8084
CCTV-2,http://117.12.149.204:4022/rtp/225.1.1.133:5002
CCTV-2,http://180.105.201.135:9981/rtp/239.49.8.130:6000
CCTV-2,http://27.191.202.133:19999/rtp/239.254.200.158:6000
CCTV-2,http://113.119.25.53:58888/udp/239.77.1.158:5146
CCTV-2,http://106.116.240.126:9999/rtp/239.254.200.158:6000
CCTV-3,http://117.12.149.204:4022/rtp/225.1.1.158:5002
CCTV-3,http://183.236.43.98:4013/udp/239.77.0.169:5146
CCTV-3,http://144.255.32.146:8288/udp/239.21.2.45:5002
CCTV-3,http://121.29.141.237:4022/rtp/239.253.92.191:6057
CCTV-3,http://106.116.240.126:9999/rtp/239.254.201.152:7205
CCTV-3,http://113.119.25.53:58888/udp/239.77.0.169:5146
CCTV-3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV-3,http://27.191.202.133:19999/rtp/239.254.201.152:7205
CCTV-3,http://114.254.37.254:18888/rtp/239.3.1.172:8001
CCTV-3,http://114.100.195.41:4022/rtp/238.1.78.170:7232
CCTV-4,http://111.162.204.64:8686/rtp/225.1.1.150:5002
CCTV-4,http://114.241.251.105:4022/rtp/239.3.1.105:8092
CCTV-4,http://144.255.32.146:8288/udp/239.21.2.29:5002
CCTV-4,http://144.255.32.146:8288/udp/239.21.1.154:5002
CCTV-4,http://27.191.202.133:19999/rtp/239.254.200.190:6307
CCTV-4,http://117.12.149.204:4022/rtp/225.1.1.150:5002
CCTV-4,http://180.105.201.135:9981/rtp/239.49.8.131:6000
CCTV-4,http://121.29.141.237:4022/rtp/239.253.92.251:6141
CCTV-4,http://106.116.240.126:9999/rtp/239.254.200.190:6307
CCTV-4,http://113.119.25.53:58888/udp/239.77.1.163:5146
CCTV-5,http://111.162.204.64:8686/rtp/225.1.1.160:5002
CCTV-5,http://144.255.32.146:8288/udp/239.21.2.46:5002
CCTV-5,http://117.12.149.204:4022/rtp/225.1.1.160:5002
CCTV-5,http://183.236.43.98:4013/udp/239.77.0.170:5146
CCTV-5,http://114.241.251.105:4022/rtp/239.3.1.173:8001
CCTV-5,http://27.191.202.133:19999/rtp/239.254.201.153:7206
CCTV-5,http://121.29.141.237:4022/rtp/239.253.92.181:6046
CCTV-5,http://113.119.25.53:58888/udp/239.77.0.170:5146
CCTV-5,http://114.254.37.254:18888/rtp/239.3.1.173:8001
CCTV-5,http://106.116.240.126:9999/rtp/239.254.201.153:7206
CCTV-5+,http://144.255.32.146:8288/udp/239.21.1.142:5002
CCTV-5+,http://183.236.43.98:4013/udp/239.77.0.87:5146
CCTV-5+,http://117.12.149.204:4022/rtp/225.1.1.121:5002
CCTV-5+,http://113.119.25.53:58888/udp/239.77.1.31:5146
CCTV-5+,http://115.171.216.84:4000/rtp/225.1.8.20:8004
CCTV-5+,http://180.105.201.135:9981/rtp/239.49.8.18:9610
CCTV-5+,http://114.241.251.105:4022/rtp/239.3.1.130:8004
CCTV-5+,http://121.29.141.237:4022/rtp/239.253.92.82:8013
CCTV-5+,http://111.113.88.146:2000/rtp/239.121.4.140:8852
CCTV-5+,http://113.119.25.53:58888/udp/239.77.0.87:5146
CCTV-6,http://111.162.204.64:8686/rtp/225.1.1.195:5002
CCTV-6,http://114.241.251.105:4022/rtp/239.3.1.174:8001
